id,PassedStepsPart,CostablePercentage,ScoredUnscoredRatio,Score,AveragePassingTime,AverageIdlingTime,SkippedPersentage,TimeDeviation,ScoreDeviation,EventsCount,WorkDaysPercentage,DayAverage,MaxIdleDays,MaxVisitingDays,AverageDayPart,passed
1,0.715493,0.000000,0.000000,0.000000,1.000000,1.000000,0.092958,-0.042594,-0.312078,0.319023,1.000000,0.415895,0.000000,0.500000,0.804411,0
2,0.025352,0.000000,0.000000,0.000000,1.000000,0.000120,0.875000,0.104672,0.104651,0.004752,1.000000,0.030717,0.000000,0.071429,0.001123,0
3,0.087324,0.290323,0.102273,0.075630,0.010747,0.287977,0.912676,-0.280618,-0.389497,0.021137,0.500000,0.042093,0.214286,0.142857,0.029757,0
4,0.185915,0.136364,0.039474,0.075630,0.681125,0.228357,0.000000,0.379537,0.360243,0.042766,1.000000,0.044369,0.000000,0.428571,0.225500,0
6,0.298592,0.188679,0.058140,0.218487,0.219284,0.168370,0.000000,-0.055026,-0.148886,0.071604,1.000000,0.128555,0.000000,0.214286,0.250853,0
7,0.180282,0.093750,0.025862,0.050420,0.012199,1.000000,0.506849,-0.314986,-0.406053,0.041783,0.375000,0.105802,0.214286,0.071429,0.146454,1
8,0.154930,0.163636,0.048913,0.075630,0.010915,0.027049,0.000000,0.227942,0.203405,0.029985,1.000000,0.187713,0.000000,0.071429,0.423275,0
10,0.078873,0.107143,0.030000,0.025210,0.001009,0.000638,0.000000,-0.166584,-0.162094,0.015730,1.000000,0.095563,0.000000,0.071429,0.013704,0
11,0.002817,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000492,0.000000,0.000000,0.000000,0.000000,0.000000,0
12,0.028169,0.000000,0.000000,0.000000,1.000000,0.002948,0.893204,0.064206,0.033804,0.005899,1.000000,0.037543,0.000000,0.071429,0.012431,0
13,0.022535,0.000000,0.000000,0.000000,1.000000,1.000000,0.000000,-0.237185,-0.500000,0.008193,0.933333,0.005119,0.071429,0.571429,0.171905,0
14,0.360563,0.171875,0.051887,0.252101,1.000000,1.000000,0.051471,-0.137506,-0.278948,0.126167,0.846154,0.078809,0.071429,0.500000,0.258663,1
15,0.002817,0.000000,0.000000,0.000000,1.000000,0.000149,0.500000,-0.304348,-0.500000,0.000983,1.000000,0.006826,0.000000,0.071429,0.000208,0
16,0.402817,0.174825,0.052966,0.302521,0.088423,0.165910,0.000000,-0.186829,-0.195515,0.096346,1.000000,0.079961,0.000000,0.500000,0.330066,0
17,0.236620,0.154762,0.045775,0.126050,1.000000,1.000000,0.758523,-0.245930,-0.500000,0.079305,0.600000,0.067122,0.357143,0.357143,0.302296,0
18,0.242254,0.081395,0.022152,0.058824,0.011400,1.000000,0.661538,-0.046657,-0.072977,0.050631,0.500000,0.094710,0.142857,0.071429,0.073843,0
19,0.171831,0.147541,0.043269,0.075630,0.039395,0.266954,0.000000,-0.180035,-0.212957,0.040800,1.000000,0.040956,0.000000,0.428571,0.428667,0
20,0.132394,0.106383,0.029762,0.042017,0.006522,0.062228,0.799163,0.458679,0.452727,0.026380,0.214286,0.055745,0.785714,0.142857,0.016914,0
22,0.222535,0.151899,0.044776,0.109244,1.000000,1.000000,0.677165,-0.425417,-0.469663,0.048501,0.500000,0.048757,0.214286,0.214286,0.230461,0
23,0.191549,0.176471,0.053571,0.168067,1.000000,1.000000,0.767742,0.120206,0.093384,0.048992,0.750000,0.036405,0.142857,0.357143,0.149613,0
24,0.233803,0.192771,0.059701,0.159664,1.000000,1.000000,0.115789,-0.266673,-0.290479,0.052925,0.615385,0.045648,0.142857,0.285714,0.111764,0
25,0.746479,0.184906,0.056713,0.630252,0.104826,0.158979,0.072664,-0.317843,-0.348987,0.173030,0.933333,0.071672,0.071429,0.642857,0.599673,0
27,0.047887,0.352941,0.136364,0.067227,0.037377,0.002203,0.913978,-0.165055,-0.172335,0.013272,1.000000,0.081911,0.000000,0.071429,0.055891,0
